#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
2.476241166693943785e-01 2.351398336674833875e-02
2.486146131360719436e-01 2.442259012968295284e-02
2.496090715886161993e-01 2.352655596545349947e-02
2.506075078749706586e-01 2.353130311380177003e-02
2.516099379064705155e-01 2.382604339574485863e-02
2.526163776580964138e-01 2.411919376384527927e-02
2.536268431687287994e-01 2.319846662668624548e-02
2.546413505414037437e-01 2.317671698978233247e-02
2.556599159435693491e-01 2.282946473058979769e-02
2.566825556073435988e-01 2.306886982364932809e-02
2.577092858297729827e-01 2.291244712192517033e-02
2.587401229730920682e-01 2.319698487363610825e-02
2.597750834649844576e-01 2.338024455252206424e-02
2.608141837988444123e-01 2.323707499629641682e-02
2.618574405340398092e-01 2.302835544358946412e-02
2.629048702961759298e-01 2.313275213865727958e-02
2.639564897773606367e-01 2.239648917179828946e-02
2.650123157364701054e-01 2.239064412475905499e-02
2.660723649994159445e-01 2.241031332540417004e-02
2.671366544594135917e-01 2.254674282545134772e-02
2.682052010772512096e-01 2.238896573300207943e-02
2.692780218815602478e-01 2.254763546715846112e-02
2.703551339690865030e-01 2.234661204087926706e-02
2.714365545049627904e-01 2.274325585699623828e-02
2.725223007229827243e-01 2.281017901820300148e-02
2.736123899258746106e-01 2.283941842306735914e-02
2.747068394855781692e-01 2.297852808168647856e-02
2.758056668435204806e-01 2.265856166779969122e-02
2.769088895108945403e-01 2.236341667697481356e-02
2.780165250689380918e-01 2.256382381046214206e-02
2.791285911692138466e-01 2.374601079581341659e-02
2.802451055338907038e-01 2.404250674231339646e-02
2.813660859560263017e-01 2.227593779170262273e-02
2.824915502998503469e-01 2.222342988914261658e-02
2.836215165010497197e-01 2.236809191392375232e-02
2.847560025670539119e-01 2.364454305791134636e-02
2.858950265773221866e-01 2.304435234974207963e-02
2.870386066836315142e-01 2.229169311296703287e-02
2.881867611103660631e-01 2.219435668944764670e-02
2.893395081548075787e-01 2.189663924472852463e-02
2.904968661874267610e-01 2.183255312659099223e-02
2.916588536521764197e-01 2.183640596508405057e-02
2.928254890667851273e-01 2.196257052515705396e-02
2.939967910230522619e-01 2.199339720298714579e-02
2.951727781871444911e-01 2.217723457119690628e-02
2.963534692998930908e-01 2.211715744909087400e-02
2.975388831770926501e-01 2.208246083554585293e-02
2.987290387098009981e-01 2.203569455671415891e-02
2.999239548646402409e-01 2.225569761924693635e-02
3.011236506840988536e-01 2.189995496588145046e-02
3.023281452868351593e-01 2.246597917129910388e-02
3.035374578679824742e-01 2.177118411273983728e-02
3.047516076994544187e-01 2.182510291124812457e-02
3.059706141302522830e-01 2.184249781313910010e-02
3.071944965867733357e-01 2.173428590146281661e-02
3.084232745731204095e-01 2.145786713083704458e-02
3.096569676714128194e-01 2.172130753914133794e-02
3.108955955420985018e-01 2.132091510630263961e-02
3.121391779242668751e-01 2.142228812428286638e-02
3.133877346359639215e-01 2.130878396440378034e-02
3.146412855745078230e-01 2.131833760476283327e-02
3.158998507168058190e-01 2.154121873031268966e-02
3.171634501196730627e-01 2.124130583163892638e-02
3.184321039201517545e-01 2.137754579774232833e-02
3.197058323358323295e-01 2.146716093649640722e-02
3.209846556651756444e-01 2.137479343190135800e-02
3.222685942878363852e-01 2.139532600178356211e-02
3.235576686649877520e-01 2.156062842743602243e-02
3.248518993396476984e-01 2.128395952850899858e-02
3.261513069370062801e-01 2.108710302492368058e-02
3.274559121647543369e-01 2.110178114282710085e-02
3.287657358134133401e-01 2.106942786664684625e-02
3.300807987566670154e-01 2.097213613354493786e-02
3.314011219516936890e-01 2.092542362618985893e-02
3.327267264395004642e-01 2.103449162153576274e-02
3.340576333452584534e-01 2.103414155650310327e-02
3.353938638786395088e-01 2.100798855255110037e-02
3.367354393341540630e-01 2.103132091487967814e-02
3.380823810914907468e-01 2.093837640164843833e-02
3.394347106158566718e-01 2.091319869097107639e-02
3.407924494583201014e-01 2.088337802193625595e-02
3.421556192561533982e-01 2.086733184986691580e-02
3.435242417331779707e-01 2.089498540636368015e-02
3.448983387001106626e-01 2.088581610513808029e-02
3.462779320549111417e-01 2.077383786310026473e-02
3.476630437831307319e-01 2.090170543517785515e-02
3.490536959582632992e-01 2.074599129903001091e-02
3.504499107420963600e-01 2.061756771957874018e-02
3.518517103850647421e-01 2.069099777978563454e-02
3.532591172266050239e-01 2.068523047942431858e-02
3.546721536955114717e-01 2.049005290873475577e-02
3.560908423102934761e-01 2.082655730251222956e-02
3.575152056795346533e-01 2.120120466894968164e-02
3.589452665022527800e-01 2.095703330820896867e-02
3.603810475682617254e-01 2.071855368796180277e-02
3.618225717585348278e-01 2.084967526841886160e-02
3.632698620455689364e-01 2.083433680890353634e-02
3.647229414937512293e-01 2.083631876469289185e-02
3.661818332597261971e-01 2.036858169115698947e-02
3.676465605927651259e-01 2.063761063765373951e-02
3.691171468351361895e-01 2.060166410977396292e-02
3.705936154224767076e-01 2.079026176533876544e-02
3.720759898841666247e-01 2.108529843042592986e-02
3.735642938437032656e-01 2.130089923890558790e-02
3.750585510190780902e-01 2.133170769855479570e-02
3.765587852231543908e-01 2.091424741324921649e-02
3.780650203640470441e-01 2.036463612538446516e-02
3.795772804455032068e-01 2.070252118148960957e-02
3.810955895672852312e-01 2.057815674257603908e-02
3.826199719255543585e-01 2.143767776258254099e-02
