#Wavelength[um] Fp[W/m2/m] Fp/Fstar[ppm] Fstar[W/m2/m]
1.382518238124605670e-01 1.054583674560516607e+06 1.692985445741757644e+02 1.237881525090909153e+08
1.388048311077104136e-01 1.269645530186951859e+06 1.802619001421780638e+02 1.399683378571428359e+08
1.393600504321412248e-01 1.457952192416636273e+06 2.033795226125122895e+02 1.424581570363636315e+08
1.399174906338697677e-01 1.810451916245502885e+06 2.366894570132101308e+02 1.520055144196428657e+08
1.404771605964052761e-01 1.772681117065109313e+06 2.092064365154888606e+02 1.683863326607142985e+08
1.410390692387908651e-01 2.006398748086477630e+06 2.269918438649424957e+02 1.756540863157894611e+08
1.416032255157460562e-01 2.013545433546645800e+06 2.172944910434794963e+02 1.841467164821428359e+08
1.421696384178090522e-01 2.907472256239097565e+06 2.719321144979554674e+02 2.124742678947368562e+08
1.427383169714803168e-01 2.951601399206910282e+06 2.705096744356841896e+02 2.168333940350877047e+08
1.433092702393662099e-01 2.594879360751602333e+06 2.263968633877805132e+02 2.277707899649122953e+08
1.438825073203236771e-01 3.416896536500073504e+06 2.666717092533568234e+02 2.546279924210526347e+08
1.444580373496049674e-01 2.890850636274401564e+06 2.083115844397169099e+02 2.757804608070175648e+08
1.450358694990033503e-01 4.778662925546632148e+06 3.297369137618852051e+02 2.879984104482758641e+08
1.456160129769993872e-01 4.474707819059891626e+06 2.762961187581896070e+02 3.218408455172413588e+08
1.461984770289073976e-01 4.008380051506657153e+06 2.347096443482523398e+02 3.393823235254237056e+08
1.467832709370230082e-01 5.282684091967064887e+06 3.122796873831848075e+02 3.361724864482758045e+08
1.473704040207710897e-01 5.881760777796285227e+06 3.290526554312953635e+02 3.552165721525423527e+08
1.479598856368541382e-01 7.872194382545134053e+06 3.856975445694820905e+02 4.056021021016949415e+08
1.485517251794015725e-01 7.066903340374660678e+06 3.254950740968898799e+02 4.314554831186439991e+08
1.491459320801191979e-01 6.088541905355650932e+06 2.629537201305046779e+02 4.601349714666666389e+08
1.497425158084396690e-01 6.655878381952310912e+06 2.730898926140020535e+02 4.843407534666665792e+08
1.503414858716734248e-01 5.514165802103953436e+06 2.091531477751410080e+02 5.239220506666666865e+08
1.509428518151600951e-01 8.541095738271635026e+06 3.020779548284027101e+02 5.618829055999999046e+08
1.515466232224207677e-01 1.110786235703321733e+07 3.810732906646885567e+02 5.792596016000000238e+08
1.521528097153104220e-01 8.798921674563989043e+06 2.807311582708820765e+02 6.228595047999998331e+08
1.527614209541716672e-01 9.220620083061991259e+06 1.019462793016233491e+02 1.797380435081967115e+09
1.533724666379883694e-01 8.534223532839087769e+06 6.640424092938178546e+01 2.553991568786885262e+09
1.539859565045403056e-01 7.962808309905237518e+06 4.309678717683958382e+01 3.671745977677419186e+09
1.546019003305584838e-01 1.745447347607059404e+07 9.647286937767609061e+01 3.595446398967741966e+09
1.552203079318807133e-01 1.486290908771546744e+07 7.643134609902585908e+01 3.864413359935483456e+09
1.558411891636082569e-01 1.604899775470760465e+07 9.245808579566853780e+01 3.449485156129032135e+09
1.564645539202626778e-01 1.890735516596797109e+07 8.872882658634381414e+01 4.234647903677418709e+09
1.570904121359437411e-01 1.552231091967654228e+07 6.167930520490898516e+01 5.001130271111110687e+09
1.577187737844875093e-01 1.716825327962033823e+07 5.654696335732588608e+01 6.033482896000000000e+09
1.583496488796254653e-01 1.512764290938879177e+07 4.333335038182449495e+01 6.937456258031745911e+09
1.589830474751439959e-01 1.269894555230687000e+07 3.377492229831901227e+01 7.471788404125000000e+09
1.596189796650445414e-01 2.212104507361076772e+07 4.884040131725854650e+01 9.000728852317461014e+09
1.602574555837047166e-01 2.538107041935437545e+07 5.526254776467500562e+01 9.127047120500000000e+09
1.608984854060395708e-01 2.070225052877363935e+07 4.366955263546817179e+01 9.420849782499998093e+09
1.615420793476636807e-01 1.811773267802236974e+07 3.932154583409041493e+01 9.156395149500000000e+09
1.621882476650543525e-01 1.601075659782247432e+07 3.347259660667923953e+01 9.505472582276920319e+09
1.628370006557145755e-01 2.006240541711348668e+07 4.422957511400085195e+01 9.014081841230770111e+09
1.634883486583374457e-01 2.033294570532037318e+07 3.510009886890839681e+01 1.151179966387692070e+10
1.641423020529707844e-01 1.650491761922962219e+07 2.348661107297737871e+01 1.396510697341538429e+10
1.647988712611826723e-01 2.371763650780161098e+07 3.407022531118305153e+01 1.383399661735384560e+10
