P[bar] T[K] H H2 He H2O CH4 CO CO2 NH3 N2 H2S HCN C2H2 Na K TiO VO FeH e- H- PH3 CaH MgH CrH Fe Mg Ca SiO AlH
5.145322575168502499e-02 2.156291809744878265e+03 1.741544785167343026e-02 8.205985402946072149e-01 1.608113076276770081e-01 3.605017072946954107e-04 4.170961506334535043e-11 5.203320014276789163e-04 4.457268671159681002e-08 5.021828627528696709e-09 6.790535195710942023e-05 1.019731258050210511e-05 8.748075253483162830e-10 2.686093330068340067e-14 3.660825332485095080e-06 1.400734643086940393e-07 1.425814792479692545e-07 3.041093121485079263e-09 2.427480978070562467e-08 1.375303687762071222e-07 2.487800448513881232e-11 4.734544224657518867e-10 3.731604469467352012e-09 7.903685152636875330e-09 1.704813059674487278e-09 5.430278118334283532e-05 6.597729766374939785e-05 3.860989207852007877e-06 6.213508870709309035e-05 2.547806804598353810e-07
3.246479068522306610e-02 2.171982767481282735e+03 2.394842282904841371e-02 8.145935597342819356e-01 1.602804467580178083e-01 3.587861483955255668e-04 1.489818886839931248e-11 5.186151263626740619e-04 4.408342016321201247e-08 3.059942898289574310e-09 6.768300445054187286e-05 7.978467683616798076e-06 5.452641159803927278e-10 3.392604369097039607e-17 3.630536392899385610e-06 1.166377955424288080e-07 1.413567101617304791e-07 2.914955017325836932e-09 1.946915852669459048e-08 1.787895267381151537e-07 2.675714718221294560e-11 2.065714181102474285e-10 3.006200697059100817e-09 6.444657843552389436e-09 1.358401200378265510e-09 5.412867524868388659e-05 6.576197543527047523e-05 3.849494198873209306e-06 6.233707294454517579e-05 2.174454842647805485e-07
2.048389811985364822e-02 2.188204606796722146e+03 3.291943873320136993e-02 8.063462172882013279e-01 1.595514991448427899e-01 3.563996256374479094e-04 5.273547887704467772e-12 5.162571260401700550e-04 4.358276393586102223e-08 1.854656978911055470e-09 6.737627842928583914e-05 5.907568107568184216e-06 3.383593372804936696e-10 9.999999999999999293e-41 3.585904979534112935e-06 9.282576885588896029e-08 1.399105114005704182e-07 2.790213288914531826e-09 1.557423681290009712e-08 2.302460062193132987e-07 2.847383982850638840e-11 8.939953865631003077e-11 2.415179774341729109e-09 5.242063266469573995e-09 1.079355086491872355e-09 5.388669797032313153e-05 6.546500544433631768e-05 3.832577930996013906e-06 6.243223016111640398e-05 1.808033983686162670e-07
1.292446596230567568e-02 2.207718744155655259e+03 4.588635080957759182e-02 7.944216113788343803e-01 1.584977446158854775e-01 3.529229056667403130e-04 1.814390182244274943e-12 5.128480665833609967e-04 4.299130628786917231e-08 1.110742774814695710e-09 6.693182009791725584e-05 4.072792936862216005e-06 2.084728022395528305e-10 9.999999999999999293e-41 3.516300283590703388e-06 6.972949307240923706e-08 1.379884598062293075e-07 2.647807470675222033e-09 1.244056115030238275e-08 2.986507209172588164e-07 3.068344616723470699e-11 3.746048432332530177e-11 1.938538024382009227e-09 4.270142614836811396e-09 8.552329803174614671e-10 5.353416738022845800e-05 6.503439062188599395e-05 3.807009629805545511e-06 6.235397722890469435e-05 1.462977188198915370e-07
8.154786722401032029e-03 2.233540415231274892e+03 6.575093089853140116e-02 7.761463497951831547e-01 1.568831032668823455e-01 3.475123590712791825e-04 5.922475417421303583e-13 5.076241145456731078e-04 4.222403903855026669e-08 6.509369424529973284e-10 6.624991245408687888e-05 2.556779723815391664e-06 1.268779863143861666e-10 9.999999999999999293e-41 3.401414036663913998e-06 4.878838074489420910e-08 1.352068786075083965e-07 2.470950797337472574e-09 9.919142253617503212e-09 3.978003383532350634e-07 3.433090354756413958e-11 1.477506504727406097e-11 1.554708737281437284e-09 3.491821215779492181e-09 6.746492959816343661e-10 5.299145272439995536e-05 6.437326509999839231e-05 3.766561563444876611e-06 6.199137206583210625e-05 1.145418194445186682e-07
5.145322575168491744e-03 2.269874092262998602e+03 9.842157905076354130e-02 7.460703832276831537e-01 1.542263880069988935e-01 3.383006988269165105e-04 1.761011430205208135e-13 4.990283073693366819e-04 4.115854131770087021e-08 3.663793593399232850e-10 6.512702271409299157e-05 1.410760477675295109e-06 7.539967423127023702e-11 9.999999999999999293e-41 3.199951710137912018e-06 3.122498595828457912e-08 1.308858760511428684e-07 2.241705388991844724e-09 7.864123129449421157e-09 5.577680880389794474e-07 4.108528023393498741e-11 5.254153582959493571e-12 1.241608942247233054e-09 2.865351520903740711e-09 5.269480583920721109e-10 5.209611366894802386e-05 6.328418568626093573e-05 3.698129965989130738e-06 6.114053378063525300e-05 8.566662648216903379e-08
3.246479068522299845e-03 2.324216090409981916e+03 1.573868841947856090e-01 6.917333049975270542e-01 1.494280178937508752e-01 3.204861187228086913e-04 4.399280740962759604e-14 4.835027138256836414e-04 3.954089676591402111e-08 1.901065458110344533e-10 6.309752379209283835e-05 6.393627062833997522e-07 4.265883235327427575e-11 9.999999999999999293e-41 2.820328449897408209e-06 1.755343699510405568e-08 1.236116787267828878e-07 1.936506799754175755e-09 6.129040743280676634e-09 8.483941128447187764e-07 5.446801732656126994e-11 1.552627651971280730e-12 9.759326650984813746e-10 2.345814074701906281e-09 4.017224462200567841e-10 5.047678571750863636e-05 6.131592278153621988e-05 3.570240887142937565e-06 5.935847304159902514e-05 5.950034405159071935e-08
2.048389811985360746e-03 2.415545751659853067e+03 2.800492588524458593e-01 5.784446739384233593e-01 1.394320748347125938e-01 2.774181725626319686e-04 2.344952370319849883e-32 4.511594344513944238e-04 3.646337214276752218e-08 7.987668914344561118e-11 5.886471561141463942e-05 1.977906086082590527e-07 2.137076311841181005e-11 9.999999999999999293e-41 2.036893817753496634e-06 7.558507397257661544e-09 1.096504205590426525e-07 1.502601174341578009e-09 4.498732490425351534e-09 1.448977263414751185e-06 8.276485572690518876e-11 3.041086104372611206e-13 7.194986929378141498e-10 1.859258754135819790e-09 2.843763204252005097e-10 4.710117654926977335e-05 5.721418922422661778e-05 3.284515085629018992e-06 5.542486860461191210e-05 3.530353893793826484e-08
1.292446596230564966e-03 2.565616964751932301e+03 5.274617500890580457e-01 3.501695469144081585e-01 1.193151589107477040e-01 1.576951817639857668e-04 9.999999999999999293e-41 3.860710870677488819e-04 2.738678512028078611e-08 1.880453604649601315e-11 5.031636178821617022e-05 2.931226049564147287e-08 8.814727194170035832e-12 9.999999999999999293e-41 7.828026770082388957e-07 1.896078960709977237e-09 8.165586382976622638e-08 8.672151574981497177e-10 2.683026742539106519e-09 2.517825830395372694e-06 1.197033655233632302e-10 2.491332117850758531e-14 4.012135857867632219e-10 1.242497648107621561e-09 1.598288251986579634e-10 4.030556705136815608e-05 4.895485799302789522e-05 2.558249348222620791e-06 4.733994761104523042e-05 1.476730379486456336e-08
8.154786722401014898e-04 2.771787246785869684e+03 7.974684696607379220e-01 1.031815495743415717e-01 9.748286084226015502e-02 1.629558341747514713e-05 9.999999999999999293e-41 3.154426970160495664e-04 7.254876274518272475e-09 1.422086558613100402e-12 4.084590856971123299e-05 1.604601879136030448e-09 6.342779887322101335e-12 9.999999999999999293e-41 1.273756889911879973e-07 3.071411693918559626e-10 2.797716961115917017e-08 1.628262931494481888e-10 1.094983929286779449e-09 4.053425467244596190e-06 1.179628778839732556e-10 9.999999999999999293e-41 8.969643894898449245e-11 5.802298888353267996e-10 5.897949971452333174e-11 3.291741963256914112e-05 3.993089521061121239e-05 1.109687310983206267e-06 3.760047207207783867e-05 3.443757287952355992e-09
