P[bar] T[K] H H2 He H2O CH4 CO CO2 NH3 N2 H2S HCN C2H2 Na K TiO VO FeH e- H- PH3 CaH MgH CrH Fe Mg Ca SiO AlH
5.145322575168502499e-02 1.961510594248532016e+03 5.013382782991897268e-03 8.319988212114587389e-01 1.618203769846446316e-01 3.630976835342178844e-04 1.454132040645339494e-10 5.235905144078363072e-04 5.147512204209479972e-08 6.978380611241487336e-09 6.832687375419560613e-05 1.614424924061501394e-05 9.105581797502742412e-10 3.552343903425913952e-14 3.713872228046627236e-06 2.052851668125630952e-07 4.033035670895726493e-09 4.998545193429965361e-09 1.579286588137116449e-08 4.306079342910057252e-08 4.238938464509400666e-12 2.738237968048410965e-09 2.096468994883111179e-09 5.100732618762088760e-09 1.510508554430787307e-09 4.382354236034737173e-05 6.639212174665736269e-05 2.856690994648730939e-06 6.118421500667457606e-05 1.691514405144118290e-07
3.246479068522306610e-02 1.956220788013137280e+03 6.095008759782191005e-03 8.310051852158858443e-01 1.617324273672183510e-01 3.628117774658612686e-04 5.965709947974268288e-11 5.233061852622808516e-04 5.167722493695917821e-08 4.431314613453136744e-09 6.829253627578216635e-05 1.493854683745175122e-05 5.738153128599230809e-10 1.419429087119939161e-14 3.710555767254927534e-06 1.980444260519196057e-07 4.032491826580119451e-09 5.054590177620693541e-09 1.245635914507145311e-08 5.151232098767130117e-08 3.957268753029795618e-12 1.447639442296752961e-09 1.651470303599426782e-09 3.997488355550835523e-09 1.194460033223535418e-09 4.380326606158909531e-05 6.635785469611878574e-05 2.856629128365549870e-06 6.137423589867040173e-05 1.551622678843994739e-07
2.048389811985364822e-02 1.943857700418093373e+03 7.034037932802165299e-03 8.301428590841481991e-01 1.616560864458357061e-01 3.625351661532359021e-04 2.575426671772694500e-11 5.230589289485327534e-04 5.219973360094281254e-08 2.850362495944725167e-09 6.826215433773569804e-05 1.384311338642334763e-05 3.619386149714662251e-10 9.999999999999999293e-41 3.707822261240473144e-06 1.919596061498913803e-07 4.034210397744847563e-09 5.197932168384782624e-09 9.735345662630895081e-09 5.849651021566595080e-08 3.416225059109433372e-12 8.210769420035027242e-10 1.285583974728566520e-09 3.074497282729264609e-09 9.391263898764687331e-10 4.378549209782422227e-05 6.632807517438550778e-05 2.856406516042823663e-06 6.153870611661299496e-05 1.384793833843125249e-07
1.292446596230567568e-02 1.927424366001265753e+03 7.862443712730629933e-03 8.293821987144495145e-01 1.615887317829861614e-01 3.622678113508985684e-04 1.147718747235248854e-11 5.228404456975842014e-04 5.292839910754681445e-08 1.848433242628292317e-09 6.823500507496250403e-05 1.282683616672461452e-05 2.284861415104736475e-10 9.999999999999999293e-41 3.705559958463726771e-06 1.867331836479936884e-07 4.036295738939291263e-09 5.393413948446886828e-09 7.567420704947960465e-09 6.436053415029160363e-08 2.811895380194739806e-12 4.865168156972165478e-10 9.936350768870661308e-10 2.337835381379998609e-09 7.358419247253785264e-10 4.376958378457143195e-05 6.630172380212416713e-05 2.856093839515329607e-06 6.168849665810461301e-05 1.217232262820534317e-07
8.154786722401032029e-03 1.909226118591700242e+03 8.650058357641233001e-03 8.286590072056027045e-01 1.615246855642645252e-01 3.619989719570466794e-04 5.198807495703713068e-12 5.226324928961654853e-04 5.377015186117466148e-08 1.203854586942718442e-09 6.820891140876118701e-05 1.184383662986127220e-05 1.443436359453736333e-10 9.999999999999999293e-41 3.703515838559300357e-06 1.818864491988717745e-07 4.037372832026389097e-09 5.611677912741795811e-09 5.867517248236605588e-09 6.970080259199788439e-08 2.260230849507328762e-12 2.946637715860032635e-10 7.653813267907070664e-10 1.767979778501592907e-09 5.756375865487338642e-10 4.375409997795533235e-05 6.627651417663044532e-05 2.855663389165864404e-06 6.183451666760577108e-05 1.061977946174374700e-07
5.145322575168491744e-03 1.890404198374038515e+03 9.445977524348798254e-03 8.279282117045457801e-01 1.614599619822435772e-01 3.617204754547794420e-04 2.371686089385384256e-12 5.224222416750956598e-04 5.467804594518222110e-08 7.853462848604019773e-10 6.818231096192224660e-05 1.086953777997004310e-05 9.118285778093265063e-11 9.999999999999999293e-41 3.701515638280382544e-06 1.771135843174186685e-07 4.036837704971738860e-09 5.836380939872308244e-09 4.543135109326273407e-09 7.490247648726558688e-08 1.795358944087203460e-12 1.802322285472448065e-10 5.884606633277920613e-10 1.333219185465316663e-09 4.498483124275081993e-10 4.373805950650181112e-05 6.625085740510241301e-05 2.855089228885937895e-06 6.198218792936440271e-05 9.227588831475692961e-08
3.246479068522299845e-03 1.871180649784343814e+03 1.025391662588991462e-02 8.271864421516701427e-01 1.613942642899675872e-01 3.614338021830780815e-04 1.088602197536581500e-12 5.222087523582865905e-04 5.564489872458389262e-08 5.131259270731139748e-10 6.815514222814279724e-05 9.911388589736679474e-06 5.761396914671004485e-11 9.999999999999999293e-41 3.699544642679757337e-06 1.723952798017075616e-07 4.034508243323284113e-09 6.061521778050617407e-09 3.514372133516011751e-09 7.999354254158431781e-08 1.412772755165885319e-12 1.111406154721853540e-10 4.518331010288661529e-10 1.003256918440810493e-09 3.513040503792914848e-10 4.372146081032931084e-05 6.622466480478370065e-05 2.854392921529000226e-06 6.213048890796873263e-05 7.993087308469795320e-08
2.048389811985360746e-03 1.851190046858789174e+03 1.103300264328604258e-02 8.264712705443687524e-01 1.613309166507904957e-01 3.611500457698832412e-04 5.042598635006384639e-13 5.220027668243169697e-04 5.669418606786233855e-08 3.360604144667929288e-10 6.812884553922036828e-05 8.998427308021687073e-06 3.641695238982100660e-11 9.999999999999999293e-41 3.697737478343865710e-06 1.679558173775793059e-07 4.030272301000152650e-09 6.287199495029111264e-09 2.714808509462427559e-09 8.469664481815428503e-08 1.097063265914711265e-12 6.939053247119590319e-11 3.462597137074794458e-10 7.526237412673683380e-10 2.740854764489828634e-10 4.370526479112765938e-05 6.619932086994554385e-05 2.853652142163508409e-06 6.227430719693776253e-05 6.898686489692668576e-08
1.292446596230564966e-03 1.827308790691819922e+03 1.149500698996041605e-02 8.260474526050620714e-01 1.612933327739201061e-01 3.609324316847309366e-04 2.412510696889487661e-13 5.218798823626641034e-04 5.799981459020274744e-08 2.219111053436686490e-10 6.811330526835832435e-05 8.263193283965972701e-06 2.303525801680641152e-11 9.999999999999999293e-41 3.697030274181824781e-06 1.653092424076985494e-07 4.023625897805604014e-09 6.538320385427876727e-09 2.085680897348923831e-09 8.713131551430033231e-08 8.137923867929850154e-13 4.534387426625419028e-11 2.634267607901636394e-10 5.580405373165258952e-10 2.130727390131193480e-10 4.369584337757323743e-05 6.618441779527373451e-05 2.853287289919002175e-06 6.239056324376870022e-05 5.893980513873330073e-08
8.154786722401014898e-04 1.797713680746626324e+03 1.135251547207940040e-02 8.261788750768227496e-01 1.613066920620498945e-01 3.706552464217906955e-04 1.188412023134149927e-13 5.219197786608468755e-04 6.136176314964464015e-08 1.487497806869165322e-10 6.811915573412535970e-05 7.897754457935535473e-06 1.422337694285059373e-11 9.999999999999999293e-41 3.698299450618332926e-06 1.658986147944981092e-07 4.008389046878149393e-09 6.866269399704753519e-09 1.589240932434147481e-09 8.553542336620812077e-08 5.605780695245964990e-13 3.201021238863493354e-11 7.358605935749633247e-37 4.062114614543679538e-10 1.647946733453830705e-10 4.370000490959230298e-05 6.619023618867244914e-05 2.475310405258016536e-36 5.392155290005783749e-05 2.280055826483291585e-08
