#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
1.887558708474330049e-01 2.377298835773537442e-02
1.895108943308226879e-01 2.370980115115536510e-02
1.902689379081460019e-01 2.374884026612679444e-02
1.910300136597785636e-01 2.357443140104502344e-02
1.917941337144176972e-01 2.345810367912895544e-02
1.925613102492753359e-01 2.350317430296243459e-02
1.933315554902724498e-01 2.338076891293986576e-02
1.941048817122335568e-01 2.340428936570115859e-02
1.948813012390824828e-01 2.338632367652965921e-02
1.956608264440388156e-01 2.325144710866584863e-02
1.964434697498149418e-01 2.325435740405388044e-02
1.972292436288141937e-01 2.318550110512355641e-02
1.980181606033294406e-01 2.324522281518393366e-02
1.988102332457427346e-01 2.322340234944279130e-02
1.996054741787257336e-01 2.318286482477279614e-02
2.004038960754406518e-01 2.313058692675406744e-02
2.012055116597424309e-01 2.317958333018355771e-02
2.020103337063813842e-01 2.320017684807924516e-02
2.028183750412069219e-01 2.320165019313067886e-02
2.036296485413717494e-01 2.309785946342789859e-02
2.044441671355372303e-01 2.292331612853057421e-02
2.052619438040793887e-01 2.289274221967061221e-02
2.060829915792957157e-01 2.290603552458943259e-02
2.069073235456129201e-01 2.293042890301028730e-02
2.077349528397953449e-01 2.291051211522892456e-02
2.085658926511545219e-01 2.298887771360898225e-02
2.094001562217591150e-01 2.308882059018309632e-02
2.102377568466461677e-01 2.318004606105040707e-02
2.110787078740327671e-01 2.315884977746801923e-02
2.119230227055288740e-01 2.310089903200350514e-02
2.127707147963510126e-01 2.319312720764198088e-02
2.136217976555363773e-01 2.310880329977272815e-02
2.144762848461585492e-01 2.321368877704116027e-02
2.153341899855431840e-01 2.325068166311526630e-02
2.161955267454853669e-01 2.335133890413310792e-02
2.170603088524672986e-01 2.334128979450999022e-02
2.179285500878772042e-01 2.332990823689208570e-02
2.188002642882286852e-01 2.339798566565800056e-02
2.196754653453815986e-01 2.328743733954821704e-02
2.205541672067631020e-01 2.326225069737849344e-02
2.214363838755901703e-01 2.340249628041198710e-02
2.223221294110925284e-01 2.337853171506817929e-02
2.232114179287369160e-01 2.316255457169230300e-02
2.241042636004518529e-01 2.325530712827603153e-02
2.250006806548536520e-01 2.315931289445092786e-02
2.259006833774730438e-01 2.345056593257607847e-02
2.268042861109829667e-01 2.335829248291023535e-02
2.277115032554268836e-01 2.329164340069356243e-02
2.286223492684485714e-01 2.317019717957806771e-02
2.295368386655223802e-01 2.308972935338348201e-02
2.304549860201844658e-01 2.344828271888319687e-02
2.313768059642651864e-01 2.308690682179873749e-02
2.323023131881222503e-01 2.306596111401128246e-02
2.332315224408747223e-01 2.301035519209491259e-02
2.341644485306381973e-01 2.326072565304305659e-02
2.351011063247607502e-01 2.341600389492016349e-02
2.360415107500598020e-01 2.324877250330987383e-02
2.369856767930600405e-01 2.340200819376405533e-02
2.379336195002322851e-01 2.343695978728724261e-02
2.388853539782332114e-01 2.320179971329043231e-02
2.398408953941461863e-01 2.318986812100637396e-02
2.408002589757227141e-01 2.322174785560101457e-02
2.417634600116256582e-01 2.329083333451852089e-02
2.427305138516721306e-01 2.290323895120411138e-02
2.437014359070788505e-01 2.285757595082018451e-02
2.446762416507071713e-01 2.269843561119665523e-02
